Date,Close,Market Return,Short MA,Long MA,Signal,Position,Position Change,Trading Cost,Strategy Return,Buy Hold Growth,Strategy Growth
2019-02-11,10888.7998046875,-0.005007475295473629,10871.8349609375,10817.15298828125,1,1.0,0.0,0.0,-0.005007475295473629,2.0811129922824247,1.2767959177978039
2019-02-12,10831.400390625,-0.005271417887377283,10869.064990234376,10816.24599609375,1,1.0,0.0,0.0,-0.005271417887377283,2.070142576029254,1.2700653929581942
2019-02-14,10746.0498046875,-0.007879921603800577,10861.852490234374,10813.4919921875,1,1.0,0.0,0.0,-0.007879921603800577,2.0538300148214534,1.2600573772299835
2019-02-15,10724.400390625,-0.002014639281967212,10852.8125,10810.59,1,1.0,0.0,0.0,-0.002014639281967212,2.0496922881951107,1.2575188161402833
2019-02-18,10640.9501953125,-0.00778133902809619,10839.5125,10807.75099609375,1,1.0,0.0,0.0,-0.00778133902809619,2.0337429375973906,1.2477336358976856
2019-02-19,10604.349609375,-0.0034395975233135756,10821.6375,10807.81498046875,1,1.0,0.0,0.0,-0.0034395975233135756,2.026747680426174,1.243441934373897
2019-02-20,10735.4501953125,0.012362906803977669,10812.272509765626,10808.64998046875,1,1.0,0.0,0.0,0.012362906803977669,2.0518041731144607,1.2588144911247192
2019-02-21,10789.849609375,0.005067269008080633,10810.189990234376,10814.67796875,0,1.0,0.0,0.0,0.005067269008080633,2.062201216811534,1.2651932427825183
2019-02-22,10791.650390625,0.00016689586186968697,10807.28251953125,10819.52796875,0,0.0,1.0,0.0005,-0.0005,2.0625453896609627,1.2645606461611272
2019-02-25,10880.099609375,0.008196078963680797,10812.260009765625,10822.37796875,0,0.0,0.0,0.0,0.0,2.0794501745407996,1.2645606461611272
2019-02-26,10835.2998046875,-0.004117591409631749,10820.947509765625,10823.25296875,0,0.0,0.0,0.0,-0.0,2.070887848365353,1.2645606461611272
2019-02-27,10806.650390625,-0.002644081343287419,10828.67001953125,10823.27697265625,1,0.0,0.0,0.0,-0.0,2.0654122524414493,1.2645606461611272
2019-02-28,10792.5,-0.0013094150466157473,10835.705029296874,10821.35998046875,1,1.0,1.0,0.0005,-0.0018094150466157473,2.062707770560638,1.262272531100605
2019-03-01,10863.5,0.006578642575862936,10837.33251953125,10820.4559765625,1,1.0,0.0,0.0,0.006578642575862936,2.0762775877216115,1.270576570916046
2019-03-05,10987.4501953125,0.011409784628572783,10842.022509765626,10820.858984375,1,1.0,0.0,0.0,0.011409784628572783,2.0999674678266476,1.2850735759443086
2019-03-06,11053.0,0.005965879573721855,10849.060009765624,10822.88498046875,1,1.0,0.0,0.0,0.005965879573721855,2.112495620848435,1.2927401701417645
2019-03-07,11058.2001953125,0.00047047817900125466,10855.2525390625,10828.968984375,1,1.0,0.0,0.0,0.00047047817900125466,2.1134895039412798,1.2933483761829345
2019-03-08,11035.400390625,-0.0020618006804727917,10853.900048828125,10836.4069921875,1,1.0,0.0,0.0,-0.0020618006804727917,2.1091319098438817,1.2906817496208323
2019-03-11,11168.0498046875,0.012020353532001593,10858.83251953125,10845.17099609375,1,1.0,0.0,0.0,0.012020353532001593,2.1344844210458307,1.306196200548577
2019-03-12,11301.2001953125,0.011922438828049886,10876.712548828125,10855.59900390625,1,1.0,0.0,0.0,0.011922438828049886,2.159932680985175,1.3217692448470486
2019-03-13,11341.7001953125,0.0035836901656514097,10899.357568359375,10865.235,1,1.0,0.0,0.0,0.0035836901656514097,2.1676732104924907,1.3265060562910675
2019-03-14,11343.25,0.00013664659273393553,10924.950048828125,10874.84900390625,1,1.0,0.0,0.0,0.00013664659273393553,2.167969415650865,1.3266873188239006
